,full_text,clean_text,cluster
0,@biskichoff Kdrt versi lite,kdrt versi lite,1
1,kenap akhir akhir ini banyak permasalahan rumah tangga kalau ga selingkuh ya kdrt 🫤,kenap masalah rumah tangga selingkuh kdrt,1
2,"@tanyakanrl Padahal secara prosesi semua orang tau acara nikah itu seperti apa, kayak ga perlu-perlu amat praktek sampe segininya ngabisin duit. Yang perlu ditekankan udah paham belum tanggungjawab,hak,dan kewajiban dalam pernikahan,kalo cerai apa yang harus dilakuin,kalo dpt kdrt harus gmn.",prosesi orang acara nikah perluperlu praktik gin ngabisin duit tekan paham tanggungjawabhakdan wajib pernikahankalo cerai dilakuinkalo kdrt,1
3,"@NdrewsTjan ambil poin pentingnya aja si mempertahankan rumah tangga dengan cara berusaha menjadi lebih baik dengan menurunkan ego dan ikut kelas parenting"". Lagian udah dibilang jg utk pertahankan klo selama kasus itu bkn kdrt dan psgn mau berubah.""",ambil poin tahan rumah tangga usaha turun ego kelas parenting bilang tahan kdrt psgn ubah,1
4,"@hellosnzh Krna mental anak ga cuman rusak krna perceraian org tau, bnyak yg org tua nya msih sama2 tapi mental anak rusak krna ributnya org tua yg terus menerus, kdrt, perselingkuhan terus menerus. Itulah mengapa gw bner2 selektif dlm memilih psngan.",krna mental anak rusak cerai orang orang tua nya mental anak rusak ribut orang tua terus kdrt selingkuh terus selektif pilih psngan,0
5,@bbbcuttie @moonareas kdrt,kdrt,1
6,Selama alasannya bukan kdrt atau selingkuh semua hal bisa dibicarakan baik-baik menurut gua.,alas kdrt selingkuh bicara baikbaik,1
7,"@arunajrID @Bintara_BA @tanyakanrl Ga bisa di pukul rata bro..\nGue pny teman,ga permah cerita ttng rmh tangganya(menutup aib suami).Akhirnya cerai,dr situ gue dengar ceritanya...ngeri,KDRT lahir batin,dan anak2 pun melihat.\nSebaiknya bercerai kl sdh kayak gitu,ga sehat untk mental anak anak",brongue temanga mah cerita ttng rumah tangganyamenutup aib suamiakhirnya ceraidr situ dengar ceritanyangerikdrt lahir batindan anak melihatnsebaiknya cerai gituga sehat mental anak anak,0
8,"@angewwie Sbg anak dr broken home family, thissss is a bullshit, at least for mine. Gue bhkan ga perlu baca selebihnya. Untung dia nge klaim di luar affair dan kdrt wkwkwk.",sbg anak broken home family thissss is a bullshit at least for mine gue bhkan baca lebih untung nge klaim affair kdrt wkwkwk,0
9,"@NdrewsTjan I'm a teenager, not married yet, but aku lebih mewajarkan perceraian dripda toxic marriage like my PARENTS. There's no affair, ga ada kdrt, they're just not for each other. They couldn't understand each other.. And like I said, seumur hidup itu terlalu lama.",im a teenager not married yet but wajar cerai dripda toxic marriage like my parents theres no affair kdrt theyre just not for each other they couldnt understand each other and like i said umur hidup,1
