full_text,clean_text,tokenized_sents,polarity_score,polarity
@biskichoff Kdrt versi lite,kdrt versi lite,"['kdrt', 'versi', 'lite']",0,0
kenap akhir akhir ini banyak permasalahan rumah tangga kalau ga selingkuh ya kdrt 🫤,kenap masalah rumah tangga selingkuh kdrt,"['kenap', 'masalah', 'rumah', 'tangga', 'selingkuh', 'kdrt']",-9,2
"@tanyakanrl Padahal secara prosesi semua orang tau acara nikah itu seperti apa, kayak ga perlu-perlu amat praktek sampe segininya ngabisin duit. Yang perlu ditekankan udah paham belum tanggungjawab,hak,dan kewajiban dalam pernikahan,kalo cerai apa yang harus dilakuin,kalo dpt kdrt harus gmn.",prosesi orang acara nikah perluperlu praktik gin ngabisin duit tekan paham tanggungjawabhakdan wajib pernikahankalo cerai dilakuinkalo kdrt,"['prosesi', 'orang', 'acara', 'nikah', 'perluperlu', 'praktik', 'gin', 'ngabisin', 'duit', 'tekan', 'paham', 'tanggungjawabhakdan', 'wajib', 'pernikahankalo', 'cerai', 'dilakuinkalo', 'kdrt']",-9,2
"@NdrewsTjan ambil poin pentingnya aja si mempertahankan rumah tangga dengan cara berusaha menjadi lebih baik dengan menurunkan ego dan ikut kelas parenting"". Lagian udah dibilang jg utk pertahankan klo selama kasus itu bkn kdrt dan psgn mau berubah.""",ambil poin tahan rumah tangga usaha turun ego kelas parenting bilang tahan kdrt psgn ubah,"['ambil', 'poin', 'tahan', 'rumah', 'tangga', 'usaha', 'turun', 'ego', 'kelas', 'parenting', 'bilang', 'tahan', 'kdrt', 'psgn', 'ubah']",-13,2
"@hellosnzh Krna mental anak ga cuman rusak krna perceraian org tau, bnyak yg org tua nya msih sama2 tapi mental anak rusak krna ributnya org tua yg terus menerus, kdrt, perselingkuhan terus menerus. Itulah mengapa gw bner2 selektif dlm memilih psngan.",krna mental anak rusak cerai orang orang tua nya mental anak rusak ribut orang tua terus kdrt selingkuh terus selektif pilih psngan,"['krna', 'mental', 'anak', 'rusak', 'cerai', 'orang', 'orang', 'tua', 'nya', 'mental', 'anak', 'rusak', 'ribut', 'orang', 'tua', 'terus', 'kdrt', 'selingkuh', 'terus', 'selektif', 'pilih', 'psngan']",-24,2
@bbbcuttie @moonareas kdrt,kdrt,['kdrt'],0,0
Selama alasannya bukan kdrt atau selingkuh semua hal bisa dibicarakan baik-baik menurut gua.,alas kdrt selingkuh bicara baikbaik,"['alas', 'kdrt', 'selingkuh', 'bicara', 'baikbaik']",-5,2
"@arunajrID @Bintara_BA @tanyakanrl Ga bisa di pukul rata bro..\nGue pny teman,ga permah cerita ttng rmh tangganya(menutup aib suami).Akhirnya cerai,dr situ gue dengar ceritanya...ngeri,KDRT lahir batin,dan anak2 pun melihat.\nSebaiknya bercerai kl sdh kayak gitu,ga sehat untk mental anak anak",brongue temanga mah cerita ttng rumah tangganyamenutup aib suamiakhirnya ceraidr situ dengar ceritanyangerikdrt lahir batindan anak melihatnsebaiknya cerai gituga sehat mental anak anak,"['brongue', 'temanga', 'mah', 'cerita', 'ttng', 'rumah', 'tangganyamenutup', 'aib', 'suamiakhirnya', 'ceraidr', 'situ', 'dengar', 'ceritanyangerikdrt', 'lahir', 'batindan', 'anak', 'melihatnsebaiknya', 'cerai', 'gituga', 'sehat', 'mental', 'anak', 'anak']",-2,2
"@angewwie Sbg anak dr broken home family, thissss is a bullshit, at least for mine. Gue bhkan ga perlu baca selebihnya. Untung dia nge klaim di luar affair dan kdrt wkwkwk.",sbg anak broken home family thissss is a bullshit at least for mine gue bhkan baca lebih untung nge klaim affair kdrt wkwkwk,"['sbg', 'anak', 'broken', 'home', 'family', 'thissss', 'is', 'a', 'bullshit', 'at', 'least', 'for', 'mine', 'gue', 'bhkan', 'baca', 'lebih', 'untung', 'nge', 'klaim', 'affair', 'kdrt', 'wkwkwk']",8,1
"@NdrewsTjan I'm a teenager, not married yet, but aku lebih mewajarkan perceraian dripda toxic marriage like my PARENTS. There's no affair, ga ada kdrt, they're just not for each other. They couldn't understand each other.. And like I said, seumur hidup itu terlalu lama.",im a teenager not married yet but wajar cerai dripda toxic marriage like my parents theres no affair kdrt theyre just not for each other they couldnt understand each other and like i said umur hidup,"['im', 'a', 'teenager', 'not', 'married', 'yet', 'but', 'wajar', 'cerai', 'dripda', 'toxic', 'marriage', 'like', 'my', 'parents', 'theres', 'no', 'affair', 'kdrt', 'theyre', 'just', 'not', 'for', 'each', 'other', 'they', 'couldnt', 'understand', 'each', 'other', 'and', 'like', 'i', 'said', 'umur', 'hidup']",-6,2
"@NdrewsTjan but, menyatukan 2 pikiran org dewasa jg susah. rawan bgt kdrt. apalagi kalau nahkodanya udh goyang. ini emang sebuah dilema. berat. intinya pilih pasangan baik baik sebelum memulai perkenalan lebih jauh. gua pernah bgt liat posisi tante gua cerai separah apa traumanya",but satu pikir orang dewasa susah rawan kdrt nahkoda goyang dilema berat inti pilih pasang kenal liat posisi tante cerai parah trauma,"['but', 'satu', 'pikir', 'orang', 'dewasa', 'susah', 'rawan', 'kdrt', 'nahkoda', 'goyang', 'dilema', 'berat', 'inti', 'pilih', 'pasang', 'kenal', 'liat', 'posisi', 'tante', 'cerai', 'parah', 'trauma']",-18,2
@skeptisyit Kdrt (keseruan dalam rumah tangga),kdrt seru rumah tangga,"['kdrt', 'seru', 'rumah', 'tangga']",0,0
@kreidreprinz Kena kdrt kk :((,kena kdrt kakak,"['kena', 'kdrt', 'kakak']",-3,2
Kalau ini efek KDRT dan perang dunia ke 3 https://t.co/NPTayvhrHI,efek kdrt perang dunia,"['efek', 'kdrt', 'perang', 'dunia']",-1,2
"@orngautmnprds @wiridkh @menghanyurkan Paradigma teologi yg dipake masih kurang dalem jg keknya, padahal kalo dipikir2 jauh ke depan, dosa si ibu bakalan jauh lebih banyak klo dipaksa membesarkan anak yg ga dia inginkan\nBs ujung2nya jd ditelantarkan, kdrt, dibuang/diusir atau dimaki2 tiap hari utk pelampiasan emosi",paradigma teologi pakai pikir dosa paksa besar anak inginkannbs ujung telantar kdrt dibuangdiusir maki lampias emosi,"['paradigma', 'teologi', 'pakai', 'pikir', 'dosa', 'paksa', 'besar', 'anak', 'inginkannbs', 'ujung', 'telantar', 'kdrt', 'dibuangdiusir', 'maki', 'lampias', 'emosi']",-17,2
"@angewwie Perceraian itu memang menyakitkan,tp sy stuju anak adalah korban yg paling bnyk dirugikan. Tdk menyalahkan org yg mmtskn brcerai. Lebih mnylahkan pelaku yg mnybbkn cerai,misal ksus selingkuh,kdrt,suami ga kasih nafkah,itulh cnth case cerai krn keegoisan,yg bgtu g mkirin anakny""",cerai menyakitkantp stuju anak korban rugi tdk salah orang mmtskn brcerai mnylahkan laku mnybbkn ceraimisal ksus selingkuhkdrtsuami kasih nafkahitulh cnth case cerai keegoisanyg mkirin anakny,"['cerai', 'menyakitkantp', 'stuju', 'anak', 'korban', 'rugi', 'tdk', 'salah', 'orang', 'mmtskn', 'brcerai', 'mnylahkan', 'laku', 'mnybbkn', 'ceraimisal', 'ksus', 'selingkuhkdrtsuami', 'kasih', 'nafkahitulh', 'cnth', 'case', 'cerai', 'keegoisanyg', 'mkirin', 'anakny']",-20,2
@m_yunus_dk Amiiiinnn🤲,amiiiinnn,['amiiiinnn'],0,0
"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak', 'cma', 'ego', 'digedein', 'anak', 'bingung', 'ibu', 'pisah', 'enak', 'kali', 'lihat', 'bgtuan']",-6,2
"W posisi sbg anak ni ya.\n\nNgeliat ortu ribut dari gue sd sampe lulus smp, ngeliat kdrt dlm rumah, saat mereka beneran cerai, gue lega luar biasa. Tp sayang trauma masa kecil gue ngeliat ortu ribut gabisa ilang.\n\nTau gitu dr awal aja kan cerai nya",w posisi anak yannngeliat orangtua ribut sd lulus smp ngeliat kdrt rumah cerai lega tp sayang trauma ngeliat orangtua ribut ilangnntau cerai nya,"['w', 'posisi', 'anak', 'yannngeliat', 'orangtua', 'ribut', 'sd', 'lulus', 'smp', 'ngeliat', 'kdrt', 'rumah', 'cerai', 'lega', 'tp', 'sayang', 'trauma', 'ngeliat', 'orangtua', 'ribut', 'ilangnntau', 'cerai', 'nya']",-4,2
"loh si A selingkuh kdrt tp agamanya bagus..""0\n\nye kalo dia selingkuh dia kdrt masih belom bagus berati itu agamanya masi ada yg kurang""",loh a selingkuh kdrt agama bagusnnye selingkuh kdrt bagus berat agama mas,"['loh', 'a', 'selingkuh', 'kdrt', 'agama', 'bagusnnye', 'selingkuh', 'kdrt', 'bagus', 'berat', 'agama', 'mas']",-18,2
@convomf Aku dapet yg tukang KDRT,tukang kdrt,"['tukang', 'kdrt']",-2,2
"role model this role model that, role model pernikahan gue nanti cuma keluarga ini. karyawan kantoran ft. ibu rumah tangga dengan 2 orang anak dan hewan peliharaan, tinggal di rumah yg masih nyicil KPR 32 tahun. https://t.co/20VWQqic34",role model this role model that role model nikah keluarga karyawan kantor ft rumah tangga orang anak hewan pelihara tinggal rumah nyicil kpr,"['role', 'model', 'this', 'role', 'model', 'that', 'role', 'model', 'nikah', 'keluarga', 'karyawan', 'kantor', 'ft', 'rumah', 'tangga', 'orang', 'anak', 'hewan', 'pelihara', 'tinggal', 'rumah', 'nyicil', 'kpr']",13,1
"Ini maksutnya kudu pd mikir sblum nikah. Konsef nya dipahamin. Mampu gk, ketaker gk kira-kira kudu dealing sm org macam psngn antum masing-masing. Cm kalo kdrt sm perceraian beda cerita. Nah sbnernya masih bertanya-tanya jg tuh stad gmn caranya yakin ini gk selingkuh dan gak kdrt",maksutnya kudu mikir sblum nikah konsef nya dipahamin ketaker kirakira kudu dealing orang psngn antum masingmasing cm kdrt cerai beda cerita sbnernya bertanyatanya tuh stad selingkuh kdrt,"['maksutnya', 'kudu', 'mikir', 'sblum', 'nikah', 'konsef', 'nya', 'dipahamin', 'ketaker', 'kirakira', 'kudu', 'dealing', 'orang', 'psngn', 'antum', 'masingmasing', 'cm', 'kdrt', 'cerai', 'beda', 'cerita', 'sbnernya', 'bertanyatanya', 'tuh', 'stad', 'selingkuh', 'kdrt']",-15,2
"7 Film tentang Perjuangan Korban KDRT, Emosional! https://t.co/KrpVXHGQ1A",film juang korban kdrt emosional,"['film', 'juang', 'korban', 'kdrt', 'emosional']",-4,2
@jskelovebot @MiyaAa092000 kdrt,kdrt,['kdrt'],0,0
めり込んでる…？,,[],0,0
"Gw malah bersyukur mak bapak cerai anjret, terhindar dari potensi kdrt yang udh mulai keliatan.",gw syukur mak cerai anjret hindar potensi kdrt,"['gw', 'syukur', 'mak', 'cerai', 'anjret', 'hindar', 'potensi', 'kdrt']",4,1
"@LailaMa08717177 @detikcom Di budaya patriarki definisi nikah adlah perbudakan yg dilegalkan (menurut aku, dengan mwlihat kehidupan pernikahan teman2 dan kerabat)\nBahkan anak laki2 dianggap istimewa, anak perempuan walau bekerja tetap harus bisa melakukan pekerjaan rumah\nKalau ada KDRT saat istri speak up",budaya patriark definisi nikah adlah budak legal mwlihat hidup nikah teman kerabatnbahkan anak laki anggap istimewa anak perempuan kerja rumahnkalau kdrt istri speak up,"['budaya', 'patriark', 'definisi', 'nikah', 'adlah', 'budak', 'legal', 'mwlihat', 'hidup', 'nikah', 'teman', 'kerabatnbahkan', 'anak', 'laki', 'anggap', 'istimewa', 'anak', 'perempuan', 'kerja', 'rumahnkalau', 'kdrt', 'istri', 'speak', 'up']",3,1
@NdrewsTjan @_iin07 Kupinjam ya kata2 ini. Buat status wa. https://t.co/PTnYzku4qH,pinjam status,"['pinjam', 'status']",0,0
"@deanas93 Klo egonya terluka cenderung jd abusive dan kasar. Ujung2nya KDRT. Yg paling parah yaa menyiksa sampe membunuh.\n\nKbnykan Laki² Indonesia itu dah fatherless patriarki pula. Didikannya laki² ga bole nangis, ga bole cengeng ga boleh gagal, ga boleh mengalami penolakan dll.",klo ego luka cenderung abusive kasar ujung kdrt parah yaa siksa membunuhnnkbnykan laki indonesia fatherless patriark dik laki nang cengeng gagal alami tolak,"['klo', 'ego', 'luka', 'cenderung', 'abusive', 'kasar', 'ujung', 'kdrt', 'parah', 'yaa', 'siksa', 'membunuhnnkbnykan', 'laki', 'indonesia', 'fatherless', 'patriark', 'dik', 'laki', 'nang', 'cengeng', 'gagal', 'alami', 'tolak']",-43,2
"@tang__kira Semoga yg belom nikah, diberikan jodoh yg gak doyan selingkuh dan gak kdrt",moga nikah jodoh suka selingkuh kdrt,"['moga', 'nikah', 'jodoh', 'suka', 'selingkuh', 'kdrt']",-3,2
"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak', 'cma', 'ego', 'digedein', 'anak', 'bingung', 'ibu', 'pisah', 'enak', 'kali', 'lihat', 'bgtuan']",-6,2
"Selama bukan kasus affair dan kdrt, divorce seharusnya tdk dilakukan. \nDalam kasus affair saja kalau pasangannya diberi kesempatan dan berubah, maka tdk perlu berpisah. \n\nSedangkan dalam kasus kdrt divorce bsa dilakukan untuk keselamatan korban kdrt ( termasuk anak2 )",affair kdrt divorce ndalam affair pasang sempat ubah pisah nnsedangkan kdrt divorce selamat korban kdrt anak,"['affair', 'kdrt', 'divorce', 'ndalam', 'affair', 'pasang', 'sempat', 'ubah', 'pisah', 'nnsedangkan', 'kdrt', 'divorce', 'selamat', 'korban', 'kdrt', 'anak']",2,1
@jevilonie @seirga_ KLO MW KDRT JNGAN BAWA NM GUA,klo mw kdrt jngan bawa nm gua,"['klo', 'mw', 'kdrt', 'jngan', 'bawa', 'nm', 'gua']",-2,2
"Bokap nyokap cerai bukan karena orang ketiga atau KDRT. Dan tetap aja kita sebagai anak, bersyukur akhirnya mereka pisah. Mereka udah gede, dan kita udah capek ngeliat mereka jadi banyak ga cocok dan ga bisa hidup tenang terus. Biar hidup kita sebagai anak juga tenang",bokap nyokap cerai orang tiga kdrt anak syukur pisah gede capai ngeliat cocok hidup tenang biar hidup anak tenang,"['bokap', 'nyokap', 'cerai', 'orang', 'tiga', 'kdrt', 'anak', 'syukur', 'pisah', 'gede', 'capai', 'ngeliat', 'cocok', 'hidup', 'tenang', 'biar', 'hidup', 'anak', 'tenang']",2,1
@treasuremenfess @preciouskiewoos mam ini daddy kenapa😭 pasti di kdrt in kan?? ampe giginya hilang gtu,mam daddy kdrt in ampe gigi hilang,"['mam', 'daddy', 'kdrt', 'in', 'ampe', 'gigi', 'hilang']",-6,2
