created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Fri May 19 23:45:35 +0000 2023;1659706898927734800;1659706898927734784;"@biskichoff Kdrt versi lite";0;1;0;0;;in;3229841432;1659706284038557700;1659706284038557696;"";"";__Forbearance
Fri May 19 23:07:26 +0000 2023;1659697298023252000;1659697298023251969;"kenap akhir akhir ini banyak permasalahan rumah tangga kalau ga selingkuh ya kdrt 🫤";0;0;0;0;;in;1336288280531255297;1659697298023252000;1659697298023251969;"";"";Sdstnur22
Fri May 19 23:05:42 +0000 2023;1659696861903728600;1659696861903728642;"@tanyakanrl Padahal secara prosesi semua orang tau acara nikah itu seperti apa, kayak ga perlu-perlu amat praktek sampe segininya ngabisin duit. Yang perlu ditekankan udah paham belum tanggungjawab,hak,dan kewajiban dalam pernikahan,kalo cerai apa yang harus dilakuin,kalo dpt kdrt harus gmn.";0;0;0;0;;in;1090402964835946497;1659433716471697400;1659433716471697410;"";"";ownlyymee
Fri May 19 23:48:29 +0000 2023;1659707631785869300;1659707631785869314;"@NdrewsTjan ambil poin pentingnya aja si "mempertahankan rumah tangga dengan cara berusaha menjadi lebih baik dengan menurunkan ego dan ikut kelas parenting". Lagian udah dibilang jg utk pertahankan klo selama kasus itu bkn kdrt dan psgn mau berubah.";0;0;0;0;;in;847463960093671424;1658772518034096000;1658772518034096128;"";"";oh_katarsis
Fri May 19 23:11:27 +0000 2023;1659698311031570400;1659698311031570432;"@hellosnzh Krna mental anak ga cuman rusak krna perceraian org tau, bnyak yg org tua nya msih sama2 tapi mental anak rusak krna ributnya org tua yg terus menerus, kdrt, perselingkuhan terus menerus. Itulah mengapa gw bner2 selektif dlm memilih psngan.";0;0;0;0;;in;1279017129807769606;1659385320234958800;1659385320234958851;"";"";MybelVed
Fri May 19 21:31:48 +0000 2023;1659673233246003200;1659673233246003200;"@bbbcuttie @moonareas kdrt";0;1;0;0;;in;1537756666766077952;1659654334693671000;1659654334693670912;"";"";indomiet3lur
Fri May 19 22:47:55 +0000 2023;1659692387202121700;1659692387202121729;"Selama alasannya bukan kdrt atau selingkuh semua hal bisa dibicarakan baik-baik menurut gua.";0;0;0;0;;in;1543372674940157952;1659692387202121700;1659692387202121729;"";"";aoctokberend
Fri May 19 22:28:14 +0000 2023;1659687434538614800;1659687434538614787;"@arunajrID @Bintara_BA @tanyakanrl Ga bisa di pukul rata bro..\nGue pny teman,ga permah cerita ttng rmh tangganya(menutup aib suami).Akhirnya cerai,dr situ gue dengar ceritanya...ngeri,KDRT lahir batin,dan anak2 pun melihat.\nSebaiknya bercerai kl sdh kayak gitu,ga sehat untk mental anak anak";0;0;0;0;;in;1356474835443060736;1659431209276182500;1659431209276182528;"";"";ZulaikaSugiarto
Fri May 19 20:50:58 +0000 2023;1659662957339623400;1659662957339623425;"@angewwie Sbg anak dr broken home family, thissss is a bullshit, at least for mine. Gue bhkan ga perlu baca selebihnya. Untung dia nge klaim di luar affair dan kdrt wkwkwk.";0;0;0;0;;in;3188522442;1659448981695627300;1659448981695627264;"";"";Sara_ai17
Fri May 19 23:23:38 +0000 2023;1659701377134919700;1659701377134919680;"@NdrewsTjan I'm a teenager, not married yet, but aku lebih mewajarkan perceraian dripda toxic marriage like my PARENTS. There's no affair, ga ada kdrt, they're just not for each other. They couldn't understand each other.. And like I said, seumur hidup itu terlalu lama.";0;1;0;0;;en;1585078816472715264;1658772518034096000;1658772518034096128;"";"";LadyAsha__
